oid,description
iso.3.6.1.2.1.79.1.3.2,"[<code>ptopoConfigMaxHoldTime OBJECT-TYPE SYNTAX Integer32 (1..2147483647)<br/>
UNITS ""seconds""<br/>
MAX-ACCESS read-write<br/>
STATUS current<br/>
DESCRIPTION<br/>
""This object specifies the desired time interval for which<br/>
an agent will maintain dynamic ptopoConnEntries.<br/>
After the specified number of seconds since the last time an<br/>
entry was verified, in the absence of new verification<br/>
(e.g., receipt of a topology protocol message), the agent<br/>
shall remove the entry. Note that entries may not always be<br/>
removed immediately, but may possibly be removed at periodic<br/>
garbage collection intervals.<br/>
This object only affects dynamic ptopoConnEntries, i.e. for<br/>
which ptopoConnIsStatic equals<br/>
alse(2). Static entries<br/>
are not aged out.<br/>
Note that dynamic ptopoConnEntries may also be removed by<br/>
the agent due to the expired timeliness of learned topology<br/>
information (e.g., timeliness interval for a remote port<br/>
expires). The actual age-out interval for a given entry is<br/>
defined by the following formula:<br/>
age-out-time =<br/>
min(ptopoConfigMaxHoldTime, &lt;entry-specific hold-time&gt;)<br/>
where &lt;entry-specific hold-time&gt;&gt;is determined by the<br/>
discovery algorithm, and may be different for each entry.""<br/>
DEFVAL { 300 }</code>]"
iso.3.6.1.2.1.83.1.1.1,"[<code>ipMRouteEnable OBJECT-TYPE<br/>
SYNTAX INTEGER { enabled(1), disabled(2) }<br/>
MAX-ACCESS read-write<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The enabled status of IP Multicast routing on this router.""</code>]"
iso.3.6.1.2.1.83.1.1.7,"[<code>ipMRouteEntryCount OBJECT-TYPE<br/>
SYNTAX Gauge32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of rows in the ipMRouteTable. This can be used<br/>
to monitor the multicast routing table size.""</code>]"
iso.3.6.1.2.1.92.1.1.1,"[<code>nlmConfigGlobalEntryLimit OBJECT-TYPE<br/>
SYNTAX Unsigned32<br/>
MAX-ACCESS read-write<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The maximum number of notification entries that may be held<br/>
in nlmLogTable for all nlmLogNames added together. A particular<br/>
setting does not guarantee that much data can be held.<br/>
If an application changes the limit while there are<br/>
Notifications in the log, the oldest Notifications MUST be<br/>
discarded to bring the log down to the new limit - thus the<br/>
value of nlmConfigGlobalEntryLimit MUST take precedence over<br/>
the values of nlmConfigGlobalAgeOut and nlmConfigLogEntryLimit,<br/>
even if the Notification being discarded has been present for<br/>
fewer minutes than the value of nlmConfigGlobalAgeOut, or if<br/>
the named log has fewer entries than that specified in<br/>
nlmConfigLogEntryLimit.<br/>
A value of 0 means no limit.<br/>
Please be aware that contention between multiple managers<br/>
trying to set this object to different values MAY affect the<br/>
reliability and completeness of data seen by each manager.""<br/>
DEFVAL { 0 }</code>]"
iso.3.6.1.2.1.92.1.1.2,"[<code>nlmConfigGlobalAgeOut OBJECT-TYPE<br/>
SYNTAX Unsigned32<br/>
UNITS ""minutes""<br/>
MAX-ACCESS read-write<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of minutes a Notification SHOULD be kept in a log<br/>
before it is automatically removed.<br/>
If an application changes the value of nlmConfigGlobalAgeOut,<br/>
Notifications older than the new time MAY be discarded to meet the<br/>
new time.<br/>
A value of 0 means no age out.<br/>
Please be aware that contention between multiple managers<br/>
trying to set this object to different values MAY affect the<br/>
reliability and completeness of data seen by each manager.""<br/>
DEFVAL { 1440 } -- 24 hours</code>]"
iso.3.6.1.2.1.92.1.2.1,"[<code>nlmStatsGlobalNotificationsLogged OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
UNITS ""notifications""<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of Notifications put into the nlmLogTable. This<br/>
counts a Notification once for each log entry, so a Notification<br/>
put into multiple logs is counted multiple times.""</code>]"
iso.3.6.1.2.1.92.1.2.2,"[<code>nlmStatsGlobalNotificationsBumped OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
UNITS ""notifications""<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of log entries discarded to make room for a new entry<br/>
due to lack of resources or the value of nlmConfigGlobalEntryLimit<br/>
or nlmConfigLogEntryLimit. This does not include entries discarded<br/>
due to the value of nlmConfigGlobalAgeOut.""</code>]"
iso.3.6.1.2.1.168.1.1,"[<code>ipMcastEnabled OBJECT-TYPE<br/>
SYNTAX TruthValue<br/>
MAX-ACCESS read-write<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The enabled status of IP Multicast function on this<br/>
system.<br/>
The storage type of this object is determined by<br/>
ipMcastDeviceConfigStorageType.""</code>]"
iso.3.6.1.2.1.168.1.2,"[<code>ipMcastRouteEntryCount OBJECT-TYPE<br/>
SYNTAX Gauge32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of rows in the ipMcastRouteTable. This can be<br/>
used to check for multicast routing activity, and to monitor<br/>
the multicast routing table size.""</code>]"
iso.3.6.1.2.1.168.1.11,"[<code>ipMcastDeviceConfigStorageType OBJECT-TYPE<br/>
SYNTAX StorageType<br/>
MAX-ACCESS read-write<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The storage type used for the global IP multicast<br/>
configuration of this device, comprised of the objects<br/>
listed below. If this storage type takes the value<br/>
'permanent', write-access to the listed objects need not be<br/>
allowed.<br/>
The objects described by this storage type are:<br/>
ipMcastEnabled.""<br/>
DEFVAL { nonVolatile }</code>]"
iso.3.6.1.2.1.6.13.1.1,"[<code>tcpConnState OBJECT-TYPE<br/>
SYNTAX INTEGER {closed(1), listen(2), synSent(3), synReceived(4), established(5), finWait1(6), finWait2(7), closeWait(8), lastAck(9), closing(10), timeWait(11), deleteTCB(12)}<br/>
MAX-ACCESS read-write<br/>
STATUS deprecated<br/>
DESCRIPTION<br/>
""The state of this TCP connection.<br/>
The only value that may be set by a management station is deleteTCB(12). Accordingly, it is appropriate for an agent to return a `badValue' response if a management station attempts to set this object to any other value.<br/>
If a management station sets this object to the value deleteTCB(12), then the TCB (as defined in [RFC793]) of the corresponding connection on the managed node is deleted, resulting in immediate termination of the connection.<br/>
As an implementation-specific option, a RST segment may be sent from the managed node to the other TCP endpoint (note, however, that RST segments are not sent reliably).""</code>]"
iso.3.6.1.2.1.6.13.1.2,"[<code>tcpConnLocalAddress OBJECT-TYPE<br/>
SYNTAX IpAddress<br/>
MAX-ACCESS read-only<br/>
STATUS deprecated<br/>
DESCRIPTION<br/>
""The local IP address for this TCP connection. In the case<br/>
of a connection in the listen state willing to<br/>
accept connections for any IP interface associated with the<br/>
node, the value 0.0.0.0 is used.""</code>]"
iso.3.6.1.2.1.6.13.1.3,"[<code>tcpConnLocalPort OBJECT-TYPE<br/>
SYNTAX Integer32 (0..65535)<br/>
MAX-ACCESS read-only<br/>
STATUS deprecated<br/>
DESCRIPTION<br/>
""The local port number for this TCP connection.""</code>]"
iso.3.6.1.2.1.6.13.1.4,"[<code>tcpConnRemAddress OBJECT-TYPE<br/>
SYNTAX IpAddress<br/>
MAX-ACCESS read-only<br/>
STATUS deprecated<br/>
DESCRIPTION<br/>
""The remote IP address for this TCP connection.""</code>]"
iso.3.6.1.2.1.6.13.1.5,"[<code>tcpConnRemPort OBJECT-TYPE<br/>
SYNTAX Integer32 (0..65535)<br/>
MAX-ACCESS read-only<br/>
STATUS deprecated<br/>
DESCRIPTION<br/>
""The remote port number for this TCP connection.""</code>]"
iso.3.6.1.2.1.6.14,"[<code>tcpInErrs OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of segments received in error (e.g., bad<br/>
TCP checksums).<br/>
Discontinuities in the value of this counter are<br/>
indicated via discontinuities in the value of sysUpTime.""</code>]"
iso.3.6.1.2.1.6.16.1.5,"[<code>ipv6TcpConnIfIndex OBJECT-TYPE<br/>
SYNTAX Ipv6IfIndexOrZero<br/>
MAX-ACCESS not-accessible<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""An index object used to disambiguate conceptual rows in<br/>
the table, since the connection 4-tuple may not be unique.<br/>
If the connection's remote address (ipv6TcpConnRemAddress)<br/>
is a link-local address and the connection's local address<br/>
(ipv6TcpConnLocalAddress) is not a link-local address, this<br/>
object identifies a local interface on the same link as<br/>
the connection's remote link-local address.<br/>
Otherwise, this object identifies the local interface that<br/>
is associated with the ipv6TcpConnLocalAddress for this<br/>
TCP connection. If such a local interface cannot be<br/>
determined, this object should take on the value 0.<br/>
(A possible example of this would be if the value of<br/>
ipv6TcpConnLocalAddress is ::0.)<br/>
The interface identified by a particular non-0 value of this<br/>
index is the same interface as identified by the same value<br/>
of ipv6IfIndex.<br/>
The value of this object must remain constant during the life<br/>
of the TCP connection.<br/>
This object is obsoleted by the zone identifier in<br/>
an InetAddressIPv6z address in either<br/>
TCP-MIB::tcpConnectionLocalAddress or<br/>
TCP-MIB::tcpConnectionRemAddress.""</code>]"
iso.3.6.1.2.1.6.16.1.6,"[<code>ipv6TcpConnState OBJECT-TYPE<br/>
SYNTAX INTEGER {<br/>
closed(1), listen(2), synSent(3), synReceived(4), established(5), finWait1(6), finWait2(7), closeWait(8), lastAck(9), closing(10), timeWait(11), deleteTCB(12) }<br/>
MAX-ACCESS read-write<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""The state of this TCP connection.<br/>
The only value which may be set by a management station is deleteTCB(12). Accordingly, it is appropriate for an agent to return an error response ('badValue' for SNMPv1,<br/>
'wrongValue' for SNMPv2) if a management station attempts to set this object to any other value.<br/>
If a management station sets this object to the value deleteTCB(12), then this has the effect of deleting the TCB (as defined in RFC 793) of the corresponding connection on the managed node, resulting in immediate termination of the connection.<br/>
As an implementation-specific option, a RST segment may be sent from the managed node to the other TCP endpoint (note however that RST segments are not sent reliably).<br/>
This object is obsoleted by TCP-MIB::tcpConnectionState.""</code>]"
iso.3.6.1.2.1.6.17,"[<code>tcpHCInSegs OBJECT-TYPE<br/>
SYNTAX Counter64<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of segments received, including those<br/>
received in error. This count includes segments received<br/>
on currently established connections. This object is<br/>
the 64-bit equivalent of tcpInSegs.<br/>
Discontinuities in the value of this counter are<br/>
indicated via discontinuities in the value of sysUpTime.""</code>]"
iso.3.6.1.2.1.6.18,"[<code>tcpHCOutSegs OBJECT-TYPE<br/>
SYNTAX Counter64<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of segments sent, including those on<br/>
current connections but excluding those containing only<br/>
retransmitted octets. This object is the 64-bit<br/>
equivalent of tcpOutSegs.<br/>
Discontinuities in the value of this counter are<br/>
indicated via discontinuities in the value of sysUpTime.""</code>]"
iso.3.6.1.2.1.6.20.1.4,"[<code>tcpListenerProcess OBJECT-TYPE<br/>
SYNTAX Unsigned32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The system's process ID for the process associated with<br/>
this listener, or zero if there is no such process. This<br/>
value is expected to be the same as HOST-RESOURCES-MIB::<br/>
hrSWRunIndex or SYSAPPL-MIB::sysApplElmtRunIndex for some<br/>
row in the appropriate tables.""</code>]"
iso.3.6.1.2.1.7.1,"[<code>udpInDatagrams OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of UDP datagrams delivered to UDP<br/>
users.<br/>
Discontinuities in the value of this counter can occur<br/>
at re-initialization of the management system, and at<br/>
other times as indicated by discontinuities in the<br/>
value of sysUpTime.""</code>]"
iso.3.6.1.2.1.7.2,"[<code>udpNoPorts OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of received UDP datagrams for which<br/>
there was no application at the destination port.<br/>
Discontinuities in the value of this counter can occur<br/>
at re-initialization of the management system, and at<br/>
other times as indicated by discontinuities in the<br/>
value of sysUpTime.""</code>]"
iso.3.6.1.2.1.7.3,"[<code>udpInErrors OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of received UDP datagrams that could not be<br/>
delivered for reasons other than the lack of an<br/>
application at the destination port.<br/>
Discontinuities in the value of this counter can occur<br/>
at re-initialization of the management system, and at<br/>
other times as indicated by discontinuities in the<br/>
value of sysUpTime.""</code>]"
iso.3.6.1.2.1.7.4,"[<code>udpOutDatagrams OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of UDP datagrams sent from this<br/>
entity.<br/>
Discontinuities in the value of this counter can occur<br/>
at re-initialization of the management system, and at<br/>
other times as indicated by discontinuities in the<br/>
value of sysUpTime.""</code>]"
iso.3.6.1.2.1.7.5.1.1,"[<code>udpLocalAddress OBJECT-TYPE<br/>
SYNTAX IpAddress<br/>
MAX-ACCESS read-only<br/>
STATUS deprecated<br/>
DESCRIPTION<br/>
""The local IP address for this UDP listener. In the<br/>
case of a UDP listener that is willing to accept<br/>
datagrams for any IP interface associated with the<br/>
node, the value 0.0.0.0 is used.""</code>]"
iso.3.6.1.2.1.7.5.1.2,"[<code>udpLocalPort OBJECT-TYPE<br/>
SYNTAX Integer32 (0..65535)<br/>
MAX-ACCESS read-only<br/>
STATUS deprecated<br/>
DESCRIPTION<br/>
""The local port number for this UDP listener.""</code>]"
iso.3.6.1.2.1.7.7.1.8,"[<code>udpEndpointProcess OBJECT-TYPE<br/>
SYNTAX Unsigned32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The system's process ID for the process associated with<br/>
this endpoint, or zero if there is no such process.<br/>
This value is expected to be the same as<br/>
HOST-RESOURCES-MIB::hrSWRunIndex or SYSAPPL-MIB::<br/>
sysApplElmtRunIndex for some row in the appropriate<br/>
tables.""</code>]"
iso.3.6.1.2.1.7.8,"[<code>udpHCInDatagrams OBJECT-TYPE<br/>
SYNTAX Counter64<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of UDP datagrams delivered to UDP<br/>
users, for devices that can receive more than 1<br/>
million UDP datagrams per second.<br/>
Discontinuities in the value of this counter can occur<br/>
at re-initialization of the management system, and at<br/>
other times as indicated by discontinuities in the<br/>
value of sysUpTime.""</code>]"
iso.3.6.1.2.1.7.9,"[<code>udpHCOutDatagrams OBJECT-TYPE<br/>
SYNTAX Counter64<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of UDP datagrams sent from this<br/>
entity, for devices that can transmit more than 1<br/>
million UDP datagrams per second.<br/>
Discontinuities in the value of this counter can occur<br/>
at re-initialization of the management system, and at<br/>
other times as indicated by discontinuities in the<br/>
value of sysUpTime.""</code>]"
iso.3.6.1.2.1.10.166.11.1.1.6,"[<code>mplsL3VpnVrfConfRteMxThrshTime OBJECT-TYPE<br/>
SYNTAX Unsigned32<br/>
UNITS ""seconds""<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""Denotes the interval in seconds, at which the route max threshold<br/>
notification may be reissued after the maximum value has been<br/>
exceeded (or has been reached if mplsL3VpnVrfConfMaxRoutes and<br/>
mplsL3VpnVrfConfHighRteThresh are equal) and the initial<br/>
notification has been issued. This value is intended to prevent<br/>
continuous generation of notifications by an agent in the event<br/>
that routes are continually added to a VRF after it has reached<br/>
its maximum value. If this value is set to 0, the agent should<br/>
only issue a single notification at the time that the maximum<br/>
threshold has been reached, and should not issue any more<br/>
notifications until the value of routes has fallen below the<br/>
configured threshold value. This is the recommended default<br/>
behavior.""<br/>
DEFVAL { 0 }</code>]"
iso.3.6.1.2.1.16.22.1.2.2.1.2,"[<code>smonVlanIdStatsTotalPkts OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
UNITS ""packets""<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of packets counted on this VLAN.""</code>]"
iso.3.6.1.2.1.16.22.1.2.2.1.3,"[<code>smonVlanIdStatsTotalOverflowPkts OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
UNITS ""packets""<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of times the associated smonVlanIdStatsTotalPkts<br/>
counter has overflowed.""</code>]"
iso.3.6.1.2.1.16.22.1.2.2.1.4,"[<code>smonVlanIdStatsTotalHCPkts OBJECT-TYPE<br/>
SYNTAX Counter64<br/>
UNITS ""packets""<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of packets counted on this VLAN.""</code>]"
iso.3.6.1.2.1.16.22.1.2.2.1.5,"[<code>smonVlanIdStatsTotalOctets OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
UNITS ""octets""<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of octets counted on this VLAN.""</code>]"
iso.3.6.1.2.1.16.22.1.2.2.1.6,"[<code>smonVlanIdStatsTotalOverflowOctets OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
UNITS ""octets""<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of times the associated smonVlanIdStatsTotalOctets<br/>
counter has overflowed.""</code>]"
iso.3.6.1.2.1.16.22.1.2.2.1.7,"[<code>smonVlanIdStatsTotalHCOctets OBJECT-TYPE<br/>
SYNTAX Counter64<br/>
UNITS ""octets""<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of octets counted on this VLAN.""</code>]"
iso.3.6.1.2.1.16.22.1.2.2.1.8,"[<code>smonVlanIdStatsNUcastPkts OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
UNITS ""packets""<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of non-unicast packets counted on this<br/>
VLAN.""</code>]"
iso.3.6.1.2.1.16.22.1.2.2.1.9,"[<code>smonVlanIdStatsNUcastOverflowPkts OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
UNITS ""packets""<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of times the associated smonVlanIdStatsNUcastPkts<br/>
counter has overflowed.""</code>]"
iso.3.6.1.2.1.16.22.1.2.2.1.10,"[<code>smonVlanIdStatsNUcastHCPkts OBJECT-TYPE<br/>
SYNTAX Counter64<br/>
UNITS ""packets""<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of non-unicast packets counted on<br/>
this VLAN.""</code>]"
iso.3.6.1.2.1.16.22.1.2.2.1.11,"[<code>smonVlanIdStatsNUcastOctets OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
UNITS ""octets""<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of non-unicast octets counted on<br/>
this VLAN.""</code>]"
iso.3.6.1.2.1.16.22.1.2.2.1.12,"[<code>smonVlanIdStatsNUcastOverflowOctets OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
UNITS ""octets""<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of times the associated<br/>
smonVlanIdStatsNUcastOctets counter has overflowed.""</code>]"
iso.3.6.1.2.1.16.22.1.2.2.1.13,"[<code>smonVlanIdStatsNUcastHCOctets OBJECT-TYPE<br/>
SYNTAX Counter64<br/>
UNITS ""octets""<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of Non-unicast octets counted on<br/>
this VLAN.""</code>]"
iso.3.6.1.2.1.16.22.1.2.2.1.14,"[<code>smonVlanIdStatsCreateTime OBJECT-TYPE<br/>
SYNTAX LastCreateTime<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The value of sysUpTime when this entry was last<br/>
activated. This object allows to a management station to<br/>
detect deletion and recreation cycles between polls.""</code>]"
iso.3.6.1.2.1.16.29.1.2.1,"[<code>hcAlarmCapabilities OBJECT-TYPE<br/>
SYNTAX BITS {<br/>
hcAlarmCreation(0),<br/>
hcAlarmNvStorage(1)<br/>
}<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""An indication of the high capacity alarm capabilities<br/>
supported by this agent.<br/>
If the 'hcAlarmCreation' BIT is set, then this agent allows<br/>
NMS applications to create entries in the hcAlarmTable.<br/>
If the 'hcAlarmNvStorage' BIT is set, then this agent allows<br/>
entries in the hcAlarmTable which will be recreated after a<br/>
system restart, as controlled by the hcAlarmStorageType<br/>
object.""</code>]"
iso.3.6.1.2.1.17.7.1.1.3,"[<code>dot1qMaxSupportedVlans OBJECT-TYPE<br/>
SYNTAX Unsigned32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The maximum number of IEEE 802.1Q VLANs that this<br/>
device supports.""<br/>
REFERENCE<br/>
""IEEE 802.1Q/D11 Section 12.10.1.1""</code>]"
iso.3.6.1.2.1.26.2.1.1.3,"[<code>ifMauType OBJECT-TYPE<br/>
SYNTAX AutonomousType<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION ""This object identifies the MAU type. Values for standard IEEE 802.3 MAU types are defined in the IANA maintained IANA-MAU-MIB module, as OBJECT-IDENTITIES of dot3MauType.<br/>
If the MAU type is unknown, the object identifier zeroDotZero is returned.<br/>
This object represents the operational type of the MAU, as determined by either 1) the result of the auto-negotiation function or 2) if auto-negotiation is not enabled or is not<br/>
implemented for this MAU, by the value of the object ifMauDefaultType. In case 2), a set to the object ifMauDefaultType will force the MAU into the new operating mode.""<br/>
REFERENCE ""[IEEE802.3], 30.5.1.1.2, aMAUType.""</code>]"
iso.3.6.1.2.1.26.2.1.1.11,"[<code>ifMauDefaultType OBJECT-TYPE<br/>
SYNTAX AutonomousType<br/>
MAX-ACCESS read-write<br/>
STATUS current<br/>
DESCRIPTION ""This object identifies the default administrative baseband MAU type to be used in conjunction with the operational MAU type denoted by ifMauType.<br/>
The set of possible values for this object is the same as the set defined for the ifMauType object.<br/>
This object represents the administratively-configured type of the MAU. If auto-negotiation is not enabled or is not<br/>
implemented for this MAU, the value of this object determines the operational type of the MAU. In this case, a set to this object will force the MAU into the specified operating mode.<br/>
If auto-negotiation is implemented and enabled for this MAU, the operational type of the MAU is determined by auto-negotiation, and the value of this object denotes the type to which the MAU will automatically revert if/when auto-negotiation is later disabled.<br/>
NOTE TO IMPLEMENTORS: It may be necessary to provide for underlying hardware implementations which do not follow the exact behavior specified above. In particular, when ifMauAutoNegAdminStatus transitions from enabled to disabled, the agent implementation MUST ensure that the operational type of the MAU (as reported by ifMauType) correctly transitions to the value specified by this object, rather than continuing to operate at the value earlier determined by the auto-negotiation function.""<br/>
REFERENCE ""[IEEE802.3], 30.5.1.1.1, aMAUID, and 22.2.4.1.4.""</code>]"
iso.3.6.1.2.1.26.2.1.1.12,"[<code>ifMauAutoNegSupported OBJECT-TYPE<br/>
SYNTAX TruthValue<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION ""This object indicates whether or not auto-negotiation is supported on this MAU.""</code>]"
iso.3.6.1.2.1.26.2.1.1.13,"[<code>ifMauTypeListBits OBJECT-TYPE<br/>
SYNTAX IANAifMauTypeListBits<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION ""A value that uniquely identifies the set of possible IEEE 802.3 types that the MAU could be.<br/>
If auto-negotiation is present on this MAU, this object will map to ifMauAutoNegCapabilityBits.<br/>
Note that this MAU may be capable of operating as a MAU type that is beyond the scope of this MIB. This is indicated by returning the bit value bOther(0) in addition to any bit values for standard capabilities that are listed in the IANAifMauTypeListBits TC.""</code>]"
iso.3.6.1.2.1.31.1.1.1.1,"[<code>ifName OBJECT-TYPE<br/>
SYNTAX DisplayString<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The textual name of the interface. The value of this<br/>
object should be the name of the interface as assigned by<br/>
the local device and should be suitable for use in commands<br/>
entered at the device's `console'. This might be a text<br/>
name, such as `le0' or a simple port number, such as `1',<br/>
depending on the interface naming syntax of the device. If<br/>
several entries in the ifTable together represent a single<br/>
interface as named by the device, then each will have the<br/>
same value of ifName. Note that for an agent which responds<br/>
to SNMP queries concerning an interface on some other<br/>
(proxied) device, then the value of ifName for such an<br/>
interface is the proxied device's local name for it.<br/>
If there is no local name, or this object is otherwise not<br/>
applicable, then this object contains a zero-length string.""</code>]"
iso.3.6.1.2.1.31.1.1.1.2,"[<code>ifInMulticastPkts OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of packets, delivered by this sub-layer to a<br/>
higher (sub-)layer, which were addressed to a multicast<br/>
address at this sub-layer. For a MAC layer protocol, this<br/>
includes both Group and Functional addresses.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ifCounterDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.31.1.1.1.3,"[<code>ifInBroadcastPkts OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of packets, delivered by this sub-layer to a<br/>
higher (sub-)layer, which were addressed to a broadcast<br/>
address at this sub-layer.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ifCounterDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.31.1.1.1.4,"[<code>ifOutMulticastPkts OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of packets that higher-level protocols<br/>
requested be transmitted, and which were addressed to a<br/>
multicast address at this sub-layer, including those that<br/>
were discarded or not sent. For a MAC layer protocol, this<br/>
includes both Group and Functional addresses.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ifCounterDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.31.1.1.1.5,"[<code>ifOutBroadcastPkts OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of packets that higher-level protocols<br/>
requested be transmitted, and which were addressed to a<br/>
broadcast address at this sub-layer, including those that<br/>
were discarded or not sent.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ifCounterDiscontinuityTime.""</code>]"
iso.3.6.1.2.1.31.1.1.1.6,"[<code>ifHCInOctets OBJECT-TYPE<br/>
SYNTAX Counter64<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of octets received on the interface,<br/>
including framing characters. This object is a 64-bit<br/>
version of ifInOctets.<br/>
Discontinuities in the value of this counter can occur at<br/>
re-initialization of the management system, and at other<br/>
times as indicated by the value of<br/>
ifCounterDiscontinuityTime.""</code>]"
